nama;deskripsi;gambar
Arumdalu;Sekar Arum Dalu (Cestrum nocturnum) akan mekar pada malam hari dan menyebarkan keharuman di sekelilingnya. Artinya sebagai manusia hendaklah berbuat kebaikan yang berguna terutama untuk masyarakat sekelilingnya tanpa memandang perbedaan yang ada. Ibarat dalam kegelapan malam pun kita harus arif menyikapinya.;Data/data_split/train/Arumdalu/6 Arumdalu 1.jpg
Brendi;Brendi adalah nama minuman keras yang diimpor dari mancanegara pada era pemerintahan Hindia Belanda. Minuman ini biasa diminum oleh para orang tua dan dewasa karena harga minuman ini yang tidak terjangkau oleh anak muda yang belum berpenghasilan cukup. Difungsikan sebagai minuman penambah vitalitas dan stamina, biasanya Brendi diminum 1-2 sloki. Minuman dengan jenis whisky (masyarakat Jawa tetap menyebutnya Brendi) memiliki simbol dagang bulatan 3 koin berjajar yang didalamnya bergambar. Inilah awal ide dengan adanya motif nitik Kawung Brendi.;Data/data_split/train/Brendhi/11 Brendhi 1.jpg
Cakar Ayam;Batik Nitik Motif cakar ayam adalah simbol dari semangat menyongsong hari esok untuk mencari rejeki, diibaratkan ayam di pagi buta sudah mengais tanah untuk mendapatkan makanan. Pada upacara perkawinan gaya Yogyakarta, batik motif cakar ayam biasanya dipakai oleh calon mempelai selama pingitan atau setelah siraman. Selain itu juga pada saat seorang istri sedang memiliki bayi, motif ini juga sering digunakan untuk menggendong bayi.;Data/data_split/train/Cakar Ayam/12 Cakar Ayam 1.jpg
Sekar Liring;Liring dalam bahasa Jawa artinya memandang sesuatu dari arah salah satu sudut mata (tidak total). Motif ini menyampaikan makna normatif bagi manusia yang menjelaskan jangan menganggap sepele segala sesuatu baik perilaku maupun pola pikir dan pendapat seseorang. Karena ada kemungkinan, hal yang dianggap sepele tersebut memiliki dampak yang besar. Karena itu sikap hati-hati dan menghargai orang lain harus diketengahkan.;Data/data_split/train/Sekar Liring/2 Sekar Liring 1.jpg
Cinde Wilis;Cinde Wilis mempunyai arti kain sutra berwarna hijau yang bergambarkan bunga. Ragam hias ini diadopsi dari kain sutra hijau yang bergambar bunga (konon berasal dari India). Wilis dalam bahasa Jawa artinya warna hijau. Jadi Cinde Wilis ini mempunyai makna kesuburan yang selalu identik dengan warna hijau. Motif ini juga sering dipakai pengantin dengan busana Kasatriyan Ageng Yogyakarta (dengan prada).;Data/data_split/train/Cinde Wilis/32 Cinde Wilis 1.jpg
Gedhangan;Gendhangan yaitu wujud dari sebuah tabung yang biasanya untuk menyimpan benda- benda penting atau bertuah sebagai azimat. Jadi gendhangan ini adalah simbol dari kehendak manusia bisa menyimpan sesuatu yang bersifat rahasia.;Data/data_split/train/Gedhangan/42 Gedhangan 1.jpg
Jayakirana;Jaya Kirana (Wijanarka) adalah Senapati Raja Angling Dharma dari kerajaan Malwapati. Adapun nama lain dari Jaya Kirana adalah Wijanarka. Cerita ini masuk dalam genre pewayangan Madya. Pesan yang ingin disampaikan adalah pentingnya seseroang memiliki jika kepahlawanan yaitu tanpa pamrih, rela berkorban untuk kepentingan nusa dan bangsanya yang bisa diteladani dari sikap Jaya Kirana (Wijanarka).;Data/data_split/train/Jayakirana/20 Jayakirana 1.jpg
Jayakusuma;Jaya Kusuma adalah nama salah satu anak Arjuna dalam cerita Mahabarata yang sangat taat pada perintah dan sebagai pahlawan muda yang disegani. Motif ini merupakan simbol teladan akan sikap patuh dalam menjalankan sikap sesepuhnya.;Data/data_split/train/Jayakusuma/58 Jayakusuma 1.jpg
Krawitan;Karawitan yang menjadi inspirasi dari ragam hias nitik ini sebenarnya adalah bunga karawitan. Namun, karawitan juga merupakan orkestra musik Jawa dengan instrumen yang sangat variatif berupa alat musik tiup, gesek, pukul, patik, dll. Untuk menghasilkan nada selaras dalam sebuah aransemen maka harus ada kerjasama yang harmonis. Jadi motif Nitik Karawitan mempunyai makna bahwa setiap orang harus hidup ber- masyarakat dan bekerjasama dengan orang lain, karena sifat manusia sebagai makhluk sosial yang tidak bisa hidup sendiri. Maknanya adalah semua orang harus bekerja sama untuk menghasilkan sesuatu yang dibutuhkan oleh masyarakat.;Data/data_split/train/Krawitan/31 Krawitan  2.jpg
Kawung Nitik;atas empat lingkaran yang saling bersinggungan satu dengan yang lain, yang tersusun sedemikian rupa dan keempatnya saling bersentuhan dimana ditengahnya terdapat ragam hias mlinjon. Ragam hias kawung sering dikonotasikan sebagai bentuk bunga kawung atau bunga kolang-kaling. Ini adalah simbol pandangan masyarakat Jawa tentang Keblat Papat Limo Pancer. Manusia hendaknya bisa mengekang 4 hawa nafsu untuk menyatu dengan Tuhannya. (Manunggaling Kawulo kaliyan Gusti). Ada pula yang menafsirkan bahwa kawung merupakan bunga yang sedang mekar sempurna. Yang maknanya adalah harapan baik untuk masa depan yang selalu berkembang.;Data/data_split/train/Kawung Nitik/27 Kawung Nitik 1.jpg
Kemukus;Lintang kemukus adalah penamaan orang Jawa bagi sebuah bintang berekor yang dapat terlihat di malam hari yang cerah. Munculnya bintang berekor dipercaya sebagai tanda akan munculnya marabahaya, karenanya ragam hias kemukus ini dimaknai sebagai peringatan kepada semua orang bahwa setiap saat haruslah waspada setiap saat agar selalu siap menghadapi segala kemungkinan yang dapat terjadi.;Data/data_split/train/Kemukus/8 Kemukus 1.jpg
Klampok Arum;Klampok Arum adalah nama salah satu varietas jambu (Syzygium jambos) yang rasa manis dan aromanya harum. Pada masyarakat Jawa ada kepercayaan apabila seseorang menanam jambu Klampok Arum maka dipercaya dia akan mendapatkan nama yang harum dan akan selalu dipandang baik oleh orang lain. Ragam hias ini merupakan pengharapan agar pemakainnya selalu mendapatkan nama baik dan kebahagiaan.;Data/data_split/train/Klampok Arum/44 Klampok Arum 1.jpg
Kuncup Kanthil;Bunga Kanthil (Magnolia x alba) adalah nama bunga yang baunya harum, warnanya putih dan memiliki makna yang penting dalam masyarakat Jawa karena bunga tersebut dianggap sebagai simbol tetap kemanthil yang artinya akan selalu dikenang, sehingga ragam hias ini merupakan harapan agar kita semua selalu dapat mengenang semua yang baik dan dapat meneladaninya.;Data/data_split/train/Kuncup Kanthil/34 Kuncup Kanthil 1.jpg
Manggar;Manggar adalah kelopak bunga kelapa (Cocos nucifera) yang berbentuk rangkaian memanjang. Bunga ini merupakan simbol dari kesetiaan antara satu dengan yang lainnya dalam kehidupan.;Data/data_split/train/Manggar/37 Manggar 1.jpg
Mawur;Dalam bahasa Jawa, mawur mempunyai arti sesuatu yang tersebar berserakan atau tidak menjadi satu.;Data/data_split/train/Mawur/21 Mawur 1.jpg
Rengganis;Rengganis adalah nama tokoh perempuan yang cantik jelita dalam cerita Menak, putri dari Raya Mukaji yang berasal dari Kerajaan Mukadam. Ragam hias ini merupakan simbol dari langkah yang baik dalam membela kebenaran.;Data/data_split/train/Rengganis/59 Rengganis 1.jpg
Sari Mulat;Sari adalah inti, sedangkan mulat dalam bahasa jawa berarti mawas diri. Dari selembar motif kain nitik sari mulat dapat disampaikan pesan bahwa menjadi manusia harus selalu memiliki perilaku yang mawas diri.;Data/data_split/train/Sari Mulat/54 Sari Mulat 1.jpg
Sekar Andhong;Andong (Cordyline fruticosa) adalah nama tanaman yang daunnya berwarna merah dan merah keunguan, jadi Sekar Andong adalah bunga tanaman andong. Tanaman andong yang merupakan tanaman hias di halaman rumah. Bunganya berwarna putih dan kecil- kecil. Kemungkinan si pencipta ragam hias ini menangkap keindahan warna bunga yang putih diantara daun yang merah.;Data/data_split/train/Sekar Andhong/41 Sekar Andhong 1.jpg
Sekar Blimbing;Diambil bentuk bunganya pada tanaman belimbing (Averrhoa carambola) sebagai ide mencipta salah satu motif batik yang filosofinya bertujuan untuk memancarkan kebaikan.;Data/data_split/train/Sekar Blimbing/52 Sekar Blimbing 1.jpg
Sekar Cengkeh;Bunga cengkeh (Syzygium aromaticum) dalam bahasa Jawa namanya adalah polong. Polong dengan kata lain adalah plong yang mempunyai arti lega/puas. Jadilah manusia yang harus harus menerima apa yang diberikan oleh Tuhan.;Data/data_split/train/Sekar Cengkeh/38 Sekar Cengkeh 1.jpg
Sekar Dangan;Dangan dalam bahasa Jawa halus artinya sembuh. Diambil dari namanya, motif ini mempunyai harapan untuk kesembuhan atau harapan masa depan yang lebih baik.;Data/data_split/train/Sekar Dangan/35 Sekar Dangan 1.jpg
Sekar Dlima;Diambil dari bentuk bunga delima (Punica granatum) sebagai ide mencipta salah satu motif batik.;Data/data_split/train/Sekar Dlima/30 Sekar Dlima 1.jpg
Sekar Dhuku;Diambil dari bentuk bunga duku sebagai ide mencipta salah satu motif batik. Karena pohon duku banyak ditanam di daerah penduduk itu tinggal. Arah melihat bunga duku itu dilakukan dari atas.;Data/data_split/train/Sekar Dhuku/18 Sekar Dhuku 1.jpg
Sekar Duren;Bunga durian (Durio) disebut dlongop dalam Bahasa Jawa yang berarti sebuah sikap manusia yang menunjukkan tidak sedang dalam suasana berfikir kritis. Ini memberi peringatan kepada kita semua bahwa sikap dlongop kurang terpuji demi masyarakat kreatif karena tidak mendukung timbulnya ide dan inovasi.;Data/data_split/train/Sekar Duren/3 Sekar Duren 1.jpg
Sekar Gambir;Sekar Gambir (Jasminum officinale) adalah bunga berwarna putih bersih dan sangat harum. Simbol sekar gambir berarti kesucian hati yang akan menimbulkan hal yang harum. Sekar gambir melukiskan bentuk bunga tanaman melati gambir, yaitu bunga yang tampak atasnya berwarna putih tetapi tampak luarnya waktu masih kuncup bewarna ungu kemerahan. Bunga melati gambir menjelang mekar menebarkan bau harum dan biasa digunakan sebagai pengharum teh wangi. Batik ragam hias kembang gambir ini menyatakan bentuk bunga gambir yang mekar jika dilihat dari atas. Ragam hias batik ini merupakan simbol kemuliaan seseorang dalam hidupnya yang selalu menebarkan perilaku yang baik (harum) bagi lingkungan-nya. Sehingga ragam hias ini merupakan harapan bahwa pemakainya selalu berperilaku mulia.;Data/data_split/train/Sekar Gambir/60 Sekar Gambir 1.jpg
Sekar Gayam;Gayam dalam masyarakat jawa mempunyal makna filosofis gayuh yang berarti mencapai cita-cita dan ayem yang berarti tenteram dan damai. Gayam (Inocarpus fagifer) adalah nama. pohon yang umumnya tumbuh menjadi pohon besar yang menghasilkan buah yang dapat dimakan dan mengakibatkan rasa kenyang bila dimakan. Pohon gayam dahulu ditanam di Yogyakarta sebagai peneduh pada zaman kerajaan Mataram Islam. Pohon gayam juga tumbuh baik di sekitar mata air alami, sehingga suasana di bawah pohon gayam pasti menyegarkan. Motif batik sekar gayam sebagai simbol dari peneduh yang menimbulkan rasa tenteram (ayem) yang juga bermakna sebuah pesan agar pemakainya mempunyai tujuan hidup yang menentramkan bagi dia sendiri maupun lingkungannya seperti apa yang diperbuat oleh pohon gayam.;Data/data_split/train/Sekar Gayam/4 Sekar Gayam 1.jpg
Sekar Gudhe;Kembang gudhe (Cajanus cajan) adalah bunga tanaman gudhe. Gudhe adalah keluarga kacang-kacangan yang kulitnya berwarna ungu dengan bentuk segitiga. Dalam kuliner Jawa gudhe sering dimasak bersama kelapa parut yang diberi nama bongko. Bongko bersama sama dengan hidangan yang lain yaitu ayung ayung, pelas, dan bothok merupakan kelengkapan upacara tradisional khas Jawa Daunnya tidak biasa dimakan sehingga sering dibenamkan dalam tanah sebagai pupuk Bongko merupakan makanan yang kaya protein nabati dan lemak nabati sehingga merupakan makanan sehat. Motif sekar gudhe merupakan simbol agar hidup manusia bermanfaat bagi sesama (migunani) seperti yang ditunjukkan oleh kacang gudhe dan kelapa bagi manusia.;Data/data_split/train/Sekar Gudhe/9 Sekar Gudhe 1.jpg
Sekar Jagung;Dalam bahasa Jawa, bunga jagung (Zea mays) disebut sinuwun. Kata sinuwun dalam budaya Jawa memiliki arti sesuatu yang ditinggikan/ dihormati. Batik motif ini merupakan pesan supaya kita sebagai manusia harus meng- hormati sesama manusia terlebih orang yang lebih tua.;Data/data_split/train/Sekar Jagung/19 Sekar Jagung 1.jpg
Sekar Jali;Hanya sebagai ide dari bentuk bunga tanaman jali (Coix lacryma-jobi L). Diambil bentuk bunganya sebagai ide mencipta salah satu motif batik. Tanaman jali adalah rumput-rumputan yang menghasilkan yang apabila dimasak dapat mengenyangkan. Artinya ragam hias ini adalah simbol dari kehidupan yang memberikan manfaat.;Data/data_split/train/Sekar Jali/45 Sekar Jali 1.jpg
Sekar Jeruk;Sekar Jeruk (Citrus) dalam bahasa Jawa bernama alon (Bahasa Indonesia-pelan), yang berarti manusia hendaknya berjalan pelan sesuai dengan haknya. Janganlah berbuat secara grusa-grusu (terburu-buru) yang akan menghasilkan sesuatu yang kurang maksimal, apalagi sampai merebut hak orang lain. Alon dalam Bahasa Jawa adalah lawan dari kata grusa-grusu atau terburu-buru. Ragam motif ini menyiratkan bahwa kita harus berhati-hati namun tetap waspada sehingga dalam hidupnya tidak menjumpai kondisi yang mencelakakan atau berbahaya untuk kelanjutan hidupnya. Dengan kata lain, ragam hias ini mengharapkan keselamatan dalam hidup seseorang (pemakainya).;Data/data_split/train/Sekar Jeruk/48 Sekar Jeruk 1.jpg
Sekar Keben;Keben (Barringtonia asiatica) adalah nama pohon yang dapat tumbuh baik di daerah pantai, namun juga ditanam di salah satu halaman depan Kraton Yogyakarta, sehingga pintu masuk di halaman tersebut dinamakan regol keben. Di bawah pohon keben yang daunnya besar itu, orang dapat berteduh dengan aman dari sengatan sinar matahari. Motif batik sekar keben menyiratkan harapan agar kehidupan manusia atau pemakainya bertindak seperti pohon keben dan bunganya, artinya dapat digunakan untuk mencari ketentraman dibawah keindahan (karena bunga keben indah sekali berwarna ungu). Bunga keben berbentuk seperti kap lampu dengan warna ungu.;Data/data_split/train/Sekar Keben/23 Sekar Keben 1.jpg
Sekar Kemuning;Dalam masyarakat Jawa, pohon Kemuning (Murraya paniculata) termasuk bunganya merupakan jenis tanaman yang mempunyai makna khusus. Di Kraton Yogyakarta tanaman ini selalu ada ditanam di Komplek Kraton. Kemuning berasal dari kata ning yang mempunyai arti konsentrasi penuh antara rasa dan penalaran yang harus seimbang. Daun kemuning dipakai sebagai pengisi kasur alas jenazah, bunga kemuning ukurannya kecil dengan warna putih yang beraroma harum pada malam hari. Simbol yang tersirat dalam ragam hias sekar kemuning adalah keseimbangan antara cipta (pemikiran), rasa (kemampuan) lan karsa (sarana) dalam men- ciptakan kemajuan masyarakat (bangsanya);Data/data_split/train/Sekar Kemuning/1 Sekar Kemuning 1.jpg
Sekar Kenanga;Bunga Kenanga (Cananga odorata) selalu ada pada setiap upacara ritual yang menggunakan bunga. Bunga Kenanga dimanfaatkan karena aroma keharuman yang sangat khas. Mempunyai makna agar kita selalu menghormati leluhur dengan cara berbuat kebaikan.;Data/data_split/train/Sekar Kenanga/47 Sekar Kenanga 1.jpg
Sekar Kenikir;Hanya dilihat dari bentuk bunga kenikir sebagai ide untuk membuat salahsatu ragam motif nitik. Tanaman kenikir (Cosmos caudatus) memiliki banyak manfaat bagi kesehatan antara lain untuk menangkal berbagai macam penyakit. Bunga kenikir mengingat manfaat daun kenikir bagi kesehatan. Ragam hias ini merupakan simbol kegiatan yang bermanfaat selalu diharapkan terjadi pada manusia pemakainya.;Data/data_split/train/Sekar Kenikir/51 Sekar Kenikir 1.jpg
Sekar Kenthang;Namanya diambil dari bentuk bunga kentang (Solanum tuberosum) sebagai ide membuat salah satu bentuk motif nitik. Bentuk bunga tanaman kentang yang memberi manfaat sebagai salah satu bahan pangan bagi manusia. Jadi ragam hias ini menyiratkan harapan agar pemakainya selalu memberikan manfaat (migunani bagi sesama).;Data/data_split/train/Sekar Kenthang/28 Sekar Kenthang 1.jpg
Sekar Kepel;Tanaman kepel (Stelechocarpus burahol) selalu mempunyai buah yang menempel pada batangnya. Kepel juga merupakan kata dalam Bahasa Jawa yang menunjukkan gerakan berkumpulnya seluruh jari-jari tangan yang menyatu. Menunjukkan semangat keber-samaan dan persatuan dalam menjalankan segala hal. Artinya di dalam menyelesaikan suatu masalah kita akan berhasil baik apabila kita bersatu dan mengerjakan pekerjaan itu bersama-sama.;Data/data_split/train/Sekar Kepel/56 Sekar Kepel 1.jpg
Sekar Ketongkeng;Adalah sejenis anggrek (Scorpions orhide) yang bunganya menyerupai kalajengking (Jawa: ketongkeng).;Data/data_split/train/Sekar Ketongkeng/10 Sekar Ketongkeng 1.jpg
Sekar Lintang;Lintang berarti bintang. Bunga dari bintang adalah sinar, maknanya jadilah manusia yang besar layaknya bintang dan bermanfaat untuk orang lain.;Data/data_split/train/Sekar Lintang/46 Sekar Lintang 1.jpg
Sekar Manggis;Hanya dilihat dari bentuk bunga manggis (Garcinia mangostana) sebagai ide untuk membuat salah satu ragam motif nitik. Buah manggis adalah ratunya buah, artinya rasanya sangat menyegarkan, seimbang rasa manis dan asam. Maknanya adalah harapan agar pemakainya menjadi manusia yang terbaik lahir dan batin bagi masyarakatnya.;Data/data_split/train/Sekar Manggis/15 Sekar Manggis 1.jpg
Sekar Menur;Bunga menur (Clerodendrum chinense) berwarna putih bersih dan saling menumpuk. Warna putih menyimbolkan kesucian menumpuk banyak. Artinya berbuatlah kebaikan sebanyak-banyaknya tanpa pamrih.;Data/data_split/train/Sekar Menur/13 Sekar Menur 1.jpg
Sekar Mindi;Diambil bentuk bunganya sebagai ide membuat salah satu bentuk motif nitik. Pohon mindi (Melia azedarach) adalah pohon yang batang kayunya bermanfaat bagi kehidupan, jadi ragam hias ini mengharapkan pemakainya selalu berbuat yang bermanfaat bagi sesama.;Data/data_split/train/Sekar Mindi/49 Sekar Mindi 1.jpg
Sekar Mlathi;Sekar mlathi adalah simbol kesucian. Hanya dilihat dari bentuk bunga melati sebagai ide untuk membuat salah satu ragam motif nitik Bunga melati (Jasmine) juga menebarkan bau yang sangat harum dan disukai banyak orang. Jadi makna ragam hias batik ini adalah harapan agar pemakainya menciptakan suasana menyenangkan dan menyehatkan bagi banyak orang.;Data/data_split/train/Sekar Mlathi/33 Sekar Mlathi 1.jpg
Sekar Mrica;Merica (Piper nigrum) berasa pedas tetapi sekaligus menyebabkan semangat untuk membangun selera makan yang baik, jadi makna dari motif batik ini adalah segala hal pengalaman dalam hidup, baik yang manis maupun yang pedas harus siap dihadapi demi memperkaya pengalaman kita semua.;Data/data_split/train/Sekar Mrica/55 Sekar Mrica 1.jpg
Sekar Mundhu;Terinspirasi dari bunga tanaman mundhu (Garcinia dulcis). Motif ini bermakna agar supaya pemakainya dapat menyatu dengan lingkungannya, membangun kebersamaan dan bersedia berbagi segala sesuatu dengan masyarakat lingkungannya. Atau dengan kata lain, menjaga kebersamaan dan toleransi. Hal ini dapat dijelaskan bahwa sekar mundhu dalam bahasa Jawa bernama kocok/meped.;Data/data_split/train/Sekar Mundhu/40 Sekar Mundhu 1.jpg
Sekar Nangka;Ragam hias ini bernama sekar nangka atau bunga nangka (Artocarpus heterophyllus). Ragam hias ini memiliki makna agar seseorang berhati-hati dalam menilai segala sesuatu. Janganlah hanya berdasarkan pada tampak luarnya, akan tetapi juga harus dicermati hingga sifat yang tersimpan di dalam hati seseorang. Hal ini dilukiskan dengan bentuk buah nangka yang dari luar nampak berduri, namun di dalamnya terdapat buah yang manis dan biji yang gurih apa bila dimasak. Sekar nangka dalam bahasa Jawa mempunyai nama angkup. Tetapi dalam menjelaskan makna ragam hias ini adalah buah nangkanya.;Data/data_split/train/Sekar Nangka/26 Sekar Nangka 1.jpg
Sekar Pacar;Sekar pacar adalah nama ragam hias Nitik yang memiliki makna bahwa orang hidup itu harus berusaha migunani artinya bermanfaat bagi sesama. Hal ini dapat dijelaskan bahwa bunga tanaman bernama pacar bentuknya sangat kecil, bewarna kuning membentuk rangkaian yang cukup besar dan baunya harum. Oleh masyarakat pemeluk agama Hindhu, bunga pacar (Impatiens balsamina L.) banyak digunakan dalam berbagai macam upacara yang mereka lakukan.;Data/data_split/train/Sekar Pacar/5 Sekar Pacar 1.jpg
Sekar Pala;Sekar pala, ragam hias ini diambil dari bentuk bunga tanaman pala (Myristica fragrant) yang buahnya memiliki biji harum serta mengandung senyawa yang membuat pikiran terasa tenang. Makna dari ragam hias ini adalah mengharapkan sebuah kehidupan pemakainya yang tenang dan tentram namun tetap waspada terhadap segala kemungkinan yang dapat terjadi. Atau memberi peringatan supaya dalam hidup ini manusia tidak boleh lengah.;Data/data_split/train/Sekar Pala/43 Sekar Pala 1.jpg
Sekar Pijetan;Pijetan adalah nama buah yang rasanya asam manis menyegarkan. Makan dari ragam hias ini adalah sebuah harapan agar pemakainya dapat memelihara keseimbangan dalam hidupnya sehingga mencapai kehidupan yang tenang dan membahagiakan.;Data/data_split/train/Sekar Pijetan/53 Sekar Pijetan 1.jpg
Sekar Pudhak;Sekar pudhak, pudhak (Pandanus tectorius) adalah nama tanaman pandan yang berduri, Bunganya berwarna putih dan beraroma harum. Pada sore hari keharumannya lebih nyata menyebar ke lingkungannya. Makna dari ragam hias ini adalah sebuah harapan agar pemakainya mampu menjaga kehormatan sehingga status sosialnya dalam masyarakat terjaga dan terhormat.;Data/data_split/train/Sekar Pudhak/29 Sekar Pudhak 1.jpg
Sekar Randhu;Sekar randu. Tanaman randu (Ceiba pentandra) adalah tanaman yang menghasilkan serabut biji yang bernama kapuk. Kapuk bermanfaat sebagai bahan pengisi alas tidur bangsa-bangsa di dunia, sehingga memberi kenikmatan. Selain itu bunga randu juga menyebarkan sedikit bau harum. Makna dari ragam hias ini adalah sebaik-baiknya orang hidup haruslah memberi nikmat kepada sesama dan selalu menjaga nama baik agar terjaga kehormatannya.;Data/data_split/train/Sekar Randhu/16 Sekar Randhu 1.jpg
Sekar Sawo;Sekar sawo. Tanaman sawo (Manilkara zapota) adalah tanaman buah yang banyak ditanam di halaman rumah orang Jawa. Bunga tanaman ini dalam bahasa Jawa bernama rikuh. Ragam hias sekar sawo merupakan sebuah peringatan bahwa orang menjalani kehidupan janganlah seenaknya, tetapi harus memperhatikan adanya orang lain yang mungkin lebih segalanya. Apakah lebih tua dan harus dihormati, lebih pandai yang harus disegani, dan seterusnya. Jadi intinya adalah sebuah peringatan agar seseorang tetap memperhatikan dan menjaga diri dalam pergaulan agar tidak menjumpai kesulitan dalam hidupnya.;Data/data_split/train/Sekar Sawo/36 Sekar Sawo 1.jpg
Sekar Soka;Sekar soka. Tanaman soka atau asoka (Ixora coccinea) adalah tanaman yang dapat mempunyai bunga majemuk serumpun dan dapat memiliki banyak warna antara lain merah tua, jingga, kuning, atau putih. Dalam dunia pewayangan, asoka atau soka diberikan sebagai nama sebuah taman di mana Dewi Shinta, istri Prabu Rama, disembunyikan oleh Rahwana yang telah menculiknya. Taman tersebut bernama Taman Arga Soka. Meskipun hidup di taman yang berbunga indah, namun hati sang dewi sangat sedih karena harus berpisah dari suaminya yang sangat dicintainya. Makna dari ragam hias sekar soka adalah bahwa dalam kehidupan ini, manusia akan mengalami berbagai macam rasa hati. Dukacita, bahagia, sedih, dan gembira, sengsara dan manja, tetapi semua itu harus dialami dengan sabar hingga tiba waktunya untuk kembali kepada kenyataan yang abadi. Seperti halnya yang dialami oleh Dewi Shinta.;Data/data_split/train/Sekar Soka/25 Sekar Soka 1.jpg
Sekar Srengenge;Sekar srengenge. Sekar srengenge (bahasa Jawa) berarti bunga matahari (bahasa Indonesia) (Helianthus annuus L.) yaitu bunga yang berwarna kuning dan selalu menghadap ke arah matahari. Maknanya adalah sebuah simbol konsistensi dalam menghadapi kehidupan bukan menghindar dari kesulitan tetapi menghadapinya dengan tegar demi menghasilkan buah pemikiran yang bermanfaat.;Data/data_split/train/Sekar Srengenge/24 Sekar Srengenge 1.jpg
Sekar Srigadhing;Sekar sri gading. Tanaman sri gading (Nyctanthes arbor-tristis) adalah perdu yang menghasilkan bunga yang mekar setelah matahari terbenam berupa bunga berwarna putih dan bertangkai merah yang saat mekar menghasilkan bau yang sangat harum mewangi. Dalam cerita pewayangan, Sri Batara Khresna menyempatkan menanam tanaman sri gading pada perbatasan pekarangan kediaman kedua Istrinya yaitu Dewi Rukmini dan Dewi Sathyabama. Begitu keduanya mencium bau harum dari bunga sri gading. Keduanya yang semula kurang rukun menjadi lebih rukun dalam kehidupan kesehariannya. Sehingga bunga sri gading dianggap sebagai simbol dari kerukunan. Jadi ragam hias sri gading dapat dimaknai sebagai harapan hidup rukun tenang dan damai.;Data/data_split/train/Sekar Srigadhing/7 Sekar Srigadhing 1.jpg
Sekar Tanjung;Sekar tanjung. Tanjung (Mimusops elengi) adalah tanaman peneduh yang menghasilkan bunga yang berbau harum dan berbentuk cantik. Dalam bahasa Jawa, tanjung juga merupakan akronim dari istilah tansah njunjung. Ragam hias ini diciptakan dengan harapan agar hidup manusia selalu mengutamakan perbuatan yang baik yang mengharumkan nama keluarga dan masyarakat umumnya.;Data/data_split/train/Sekar Tanjung/22 Sekar Tanjung 1.jpg
Sekar Tebu;"Sekar tebu. Tanaman tebu (Saccharum officinarum) dalam bahasa Jawa mempunyai bunga yang diberi nama gleges; gleges dalam bahasa Jawa berarti tertawa berkepanjangan. Dalam hal ini entah karena senang atau karena lucu. Makna dari ragam hias ini adalah sebuah nasihat agar seseorang jangan menilai atau melakukan segala sesuatu dengan cara yang berlebihan. Jadi sebaiknya berhati-hati dan penuh perhitungan agar tidak terjerumus dalam kondisi yang tidak diinginkan.";Data/data_split/train/Sekar Tebu/14 Sekar Tebu 1.jpg
Sritaman;Sri taman. Dalam bahasa Jawa, sri taman adalah taman yang berada dalam istana para raja. Artinya taman yang dapat membangun pemikiran yang bijaksana kepada seorang raja agar dapat menjadi panutan bagi rakyatnya. Makna ragam hias ini adalah harapan agar pemakainya selalu bersikap bijaksana dalam segala aspek kehidupannya.;Data/data_split/train/Sritaman/39 Sritaman 1.jpg
Tanjung Gunung;Tanjung gunung. Tanjung adalah tanaman yang memiliki bunga beraroma harum sedangkan tajuknya sebagai peneduh. Makna dari ragam hias tanjung gunung adalah sebuah harapan agar pemakainya mendapatkan banyak kebahagiaan dan kehormatan, serta nama baik dalam hidupnya sekarang maupun di kemudian hari.;Data/data_split/train/Tanjung Gunung/50 Tanjung Gunung 1.jpg
Truntum Kurung;Dalam bahasa Jawa tumaruntum mempunyai arti menurun ke generasi berikutnya. Bentuk dari truntum menggambarkan sinar bintang, jadi makna dari truntum adalah dengan sinar yang terang, kehidupan yang mulia dapat diturunkan pada generasi berikutnya.;Data/data_split/train/Truntum Kurung/57 Truntum Kurung 1.jpg
Worawari Rumpuk;Kembang wora-wari dikenal sebagai bunga sepatu dalam bahasa Indonesia. Wora-wari rumpuk adalah bunga sepatu yang bertumpuk (ganda/berlipat). Pada umumnya bunga wora- wari yang banyak ditanam di masyarakat Jawa adalah warna merah. Warna merah dari bunga wora-wari adalah simbol cinta-gairah-semangat. Selain warna merah, bunga ini juga ada yang berwarna putih, kuning, merah muda, dan ungu.;Data/data_split/train/Worawari Rumpuk/17 Worawari Rumpuk 1.jpg
